Intent,Question
Nutrition_Baby_Complementary_Feeding_6mo,Which food should I give my baby at 6 months?
Nutrition_Baby_Complementary_Feeding_6mo,Can I give my baby porridge at 6 moths
Nutrition_Baby_Complementary_Feeding_6mo,What food should a baby take at six months?
Nutrition_Baby_Complementary_Feeding_6mo,How many times should I give the baby food at 6 months?
Nutrition_Baby_Complementary_Feeding_6mo,Can I give my baby water before 6 months?
Nutrition_Baby_Complementary_Feeding_6mo,I don't have enough breastfeeding milk can I start giving my baby uji?
Nutrition_Baby_Complementary_Feeding_6mo,When I breastfeed my baby she begins crying does it mean that my breastfeed has problem?
Nutrition_Baby_Complementary_Feeding_6mo,Can I give my baby sugar and salt warm water when experiencing colic?
Nutrition_Baby_Complementary_Feeding_6mo,What is the best food to start feeding your baby at six months?
Nutrition_Baby_Complementary_Feeding_6mo,I introduced my 4 months baby milk will it harm him?
Nutrition_Baby_Complementary_Feeding_7-8mo,Which food should I give my baby at 7 months?
Nutrition_Baby_Complementary_Feeding_7-8mo,Which food should I give my baby at 8 months?
Nutrition_Baby_Complementary_Feeding_7-8mo,Should I start giving my 6 old baby vegetable soup.
Nutrition_Baby_Complementary_Feeding_7-8mo,What can i gfeed my baby apart from breastmilk after six months?
Nutrition_Baby_Complementary_Feeding_7-8mo,potato puree and meat or vegetable soup which one is good for my baby.
Nutrition_Baby_Complementary_Feeding_7-8mo,Is it true that when I give my baby eggs it will delay his speech?
Nutrition_Baby_Complementary_Feeding_7-8mo,Is it true when I give my baby the ovacado fruit it will make him
Nutrition_Baby_Complementary_Feeding_9-11mo,Which food should I give my baby at 9 months?
Nutrition_Baby_Complementary_Feeding_9-11mo,Which food should I give my baby at 10 months? 
Nutrition_Baby_Complementary_Feeding_9-11mo,Which food should I give my baby at 11 months?
Nutrition_Baby_Complementary_Feeding_9-11mo,can i give small pieces of food to my baby who is almost eight months?
Nutrition_Baby_Complementary_Feeding_9-11mo,Which kind of food is good to a 9 months baby?
Nutrition_Baby_Complementary_Feeding_9-11mo,My baby looks weak does it mean am not feeding him well?
Nutrition_Baby_Complementary_Feeding_9-11mo,Which is the food that helps in adding weight in children?
Nutrition_Baby_Complementary_Feeding_12-23mo,Which food should I give my baby at 13-24 months?
Nutrition_Baby_Complementary_Feeding_12-23mo,Can i give my baby cow milk now he is above 1 year?
Nutrition_Baby_Complementary_Feeding_12-23mo,What amount of water will i give my baby above 1 year?
Nutrition_Baby_Complementary_Feeding_12-23mo,Will i continue to breastfeed my baby after 1 year?
Nutrition_Baby_Complementary_Feeding_12-23mo,Matunda kama gani mtoto zaidi ya mwaka moja anaweza pewa?
Nutrition_Baby_Complementary_Feeding_12-23mo,How many meals should my baby take on each particular day?
Nutrition_Baby_Complementary_Feeding_12-23mo,Mtoto wangu tena hapendi kunyonya baada ya kujua chai?
Nutrition_Baby_Complementary_Feeding_12-23mo,my baby has lost his apetite which food can I five him to make him eat?
Nutrition_Baby_Complementary_Feeding_24-59mo,What do i feed my baby at 3 years?
Nutrition_Baby_Complementary_Feeding_24-59mo,What do i give my baby at 4 years?
Nutrition_Baby_Complementary_Feeding_24-59mo,What do i give my baby at 5 years?
Nutrition_Baby_Complementary_Feeding_24-59mo,What amount of water will i give my baby?
Nutrition_Baby_Complementary_Feeding_24-59mo,Can i now give my baby cow milk?
Nutrition_Baby_Complementary_Feeding_Yoghurt,Can I give my baby yoghurt?
Nutrition_Baby_Complementary_Feeding_Yoghurt,Is youghurt healthy for babies
Nutrition_Baby_Complementary_Feeding_Yoghurt,"My baby does not want food,can I give himm yoghurt"
Nutrition_Baby_Complementary_Feeding_Yoghurt,Can a baby who is below 6 months takes yoghurt
Nutrition_Baby_Complementary_Feeding_Yoghurt,Can yoghutr harm the baby?
Nutrition_Baby_Complementary_Feeding_Yoghurt,Is it true that yoghurt will make my baby fat
Nutrition_Baby_Complementary_Feeding_Yoghurt,Is it true that yoghurt with vanilla flavour is the best for kids
Nutrition_Baby_Complementary_Feeding_Pumpkin,Is pumpkin healthy for babies
Nutrition_Baby_Complementary_Feeding_Pumpkin,Can I give a 6 months baby pumpikin?
Nutrition_Baby_Complementary_Feeding_Pumpkin,What food other than pumkin can I give the baby
Nutrition_Baby_Complementary_Feeding_Pumpkin,How often should I give the baby pumkin
Nutrition_Baby_Complementary_Feeding_Pumpkin,Can pumpkin harm the baby?
Nutrition_Baby_Complementary_Feeding_Pumpkin,I was told that too much pumpkin causes diarrhoea is it true?
Nutrition_Baby_Complementary_Feeding_Pumpkin,In our area we do not grow pumpkin which other food in class of pupkin can I give my baby?
Nutrition_Baby_Complementary_Feeding_Pumpkin,What are nutritional benefits for pumpkin?
Nutrition_Baby_Complementary_Feeding_Pumpkin,Can a 4 months old baby use a pumpkin?
Nutrition_Baby_Complementary_Feeding_Vegetables,Is it okay to give my baby vegetables?
Nutrition_Baby_Complementary_Feeding_Vegetables,What type of vegetables should I give my baby?
Nutrition_Baby_Complementary_Feeding_Vegetables,How will i cook my baby vegetable?
Nutrition_Baby_Complementary_Feeding_Vegetables,At what age do i start giving my baby Vegetables?
Nutrition_Baby_Complementary_Feeding_Vegetables,Why should you not give a baby less than 1 year spinach?
Nutrition_Baby_Complementary_Feeding_Vegetables,Can excessive use of vegetable cause harm to my baby?
Nutrition_Baby_Complementary_Feeding_Vegetables,WHich group of food is vegetable?
Nutrition_Baby_Complementary_Feeding_Vegetables,What are nutritional benefits of vegetable
Nutrition_Baby_Complementary_Feeding_Vegetables,Is it true that excessive use of vegetable causes diarrhoea
Nutrition_Baby_Complementary_Feeding_Vegetables,How old should a baby be before begin using vegetables
Nutrition_Baby_Cod_Liver_Oil,Can I give my baby codliver oil?
Nutrition_Baby_Cod_Liver_Oil,What is the importance of codliver oil?
Nutrition_Baby_Cod_Liver_Oil,Does codliver oil has any effect to the baby?
Nutrition_Baby_Cod_Liver_Oil,At what age can the baby be given codliver oil?
Nutrition_Baby_Cod_Liver_Oil,My baby is 3 months old and he has a coomon cold can i give him cod liver oil?
Nutrition_Baby_Cod_Liver_Oil,Is it true that codliver is the remedy for coughs in babies?
Nutrition_Baby_Cod_Liver_Oil,Where can I find codliver oil?
Nutrition_Baby_Cod_Liver_Oil,If I cannot afford codliver oil what can I give my daughter instead of codliver oil
Nutrition_Baby_Cod_Liver_Oil, My baby has been using codliver with no change what can I do?
Nutrition_Baby_Tea,Can I give my baby tea?
Nutrition_Baby_Tea,Is teas safe for babies?
Nutrition_Baby_Tea,At what age can I give my baby tea?
Nutrition_Baby_Tea,My baby prefers tea to milk is it okay?
Nutrition_Baby_Tea,My baby uses tea the whole day can it be harmful to his health?
Nutrition_Baby_Tea, Between uji and tea which one is the best for the baby?
Nutrition_Baby_Tea,Since the day my baby discovered tea he nolonger take milk or uji.
Nutrition_Baby_Tea, my baby stoppped breastfeeding the day he begun drinking milk tea
Nutrition_Baby_Juice_Packaged, Is afia juice good for babies?
Nutrition_Baby_Juice_Packaged,Can I give my baby afia juice?
Nutrition_Baby_Juice_Packaged,At what age should i give my baby afia juice?
Nutrition_Baby_Juice_Packaged,What nutrients does afia juice have?
Nutrition_Baby_Juice_Packaged,Is it good to add a little water to the afia juice before giving the baby?
Nutrition_Baby_Juice_Packaged,I was told that afia juice contain chemicals that are harmful for the baby?
Nutrition_Baby_Eggs,Hi doctor.does eggs have effect on the baby?
Nutrition_Baby_Eggs,At what age can I give my baby eggs
Nutrition_Baby_Eggs,What number of eggs is recommended for babies?
Nutrition_Baby_Eggs,"In a week,how many eggs should I give the baby?"
Nutrition_Baby_Eggs,Is the baby supposed to eat boiled or fried eggs?
Nutrition_Baby_Mixing Different Porridge flour,Which porridge flour is suitable for weaning
Nutrition_Baby_Mixing Different Porridge flour,Is it okay to mix baby's porridge flour?
Nutrition_Baby_Mixing Different Porridge flour,"Can I put sorghum,groundnuts,wheat,maize and soya in the flour of baby's porridge?"
Nutrition_Baby_Mixing Different Porridge flour,Can i add milk to my babys porridge?
Nutrition_Baby_Mixing Different Porridge flour,Why should i not mix several flours in the babys porridge?
Nutrition_Baby_Porridge,Can I put blueband and sugar in babies porridge?
Nutrition_Baby_Porridge,Is it safe to put little amount of sugar in my baby's porridge?
Nutrition_Baby_Porridge,"Doctor,Is it really okay to use blueband while preparing baby's porridge?"
Nutrition_Baby_Porridge,How does adding blue band in the baby's porridge beneficial?
Nutrition_Baby_Porridge,What amount of sugar will i add to my baby's porridge?
Nutrition_Baby_Cakes_Sweets_Biscuits,My baby's likes sugary thinks like biscuits is it good for him?
Nutrition_Baby_Cakes_Sweets_Biscuits,How frequent should I give my baby sweets?
Nutrition_Baby_Cakes_Sweets_Biscuits,Is there any harm if a baby frequently takes cakes and biscuits?
Nutrition_Baby_Cakes_Sweets_Biscuits,How will sugary things affect my baby?
Nutrition_Baby_Cakes_Sweets_Biscuits,At what age do i start giving by baby sweets?
Nutrition_Baby_Ugali,At what age does the baby start to take ugali?
Nutrition_Baby_Ugali,Is it okay to give my 6 months old baby ugali?
Nutrition_Baby_Ugali,"Hi doctor,is there any harm if my little baby is given ugali?"
Nutrition_Baby_Ugali,What is the nutrition benefit from Ugali?
Nutrition_Baby_Ugali,Can i give my baby Ugali with meat soup at 6 months?
Nutrition_Baby_Fats_Onions_Fried_Bolied,Is it okay to cook baby's food with oil or should I just boil?
Nutrition_Baby_Fats_Onions_Fried_Bolied,How should the baby's food be prepared?
Nutrition_Baby_Fats_Onions_Fried_Bolied,Is it okay to use onions in baby's food/
Nutrition_Baby_Fats_Onions_Fried_Bolied,Am I supposed to make baby's food using oil?
Nutrition_Baby_Fats_Onions_Fried_Bolied,Am i suppossed to add tomatoes to my baby's food?
Nutrition_Baby_Meat,Naweza pea mtoto nyama ya kusangwa ama nimtafunie?
Nutrition_Baby_Meat,Nianze kumpa mtoto nyama kwa umri gani?
Nutrition_Baby_Meat,Vyakula gani vya protini mtoto wa miezi 6 anaweza pewa?
Nutrition_Baby_Meat,Mtoto akikosa kupewa vyakula vya protini kuna shida?
Nutrition_Baby_Meat,Naweza mpea mtoto maini iliyosiagwa kama chakula cha protini akiwa na miezi sita?
Nutrition_Baby_Yam_Potatoes,what is the best time to start giving the baby potatoes and yams
Nutrition_Baby_Yam_Potatoes,Can a six months baby be given pounded yam?
Nutrition_Baby_Yam_Potatoes,What nutrients does the baby get from yams or sweet potatoes?
Nutrition_Baby_Yam_Potatoes,Will i add soup to the yams or the sweet potatoes to make a puree to give the baby?
Nutrition_Baby_Yam_Potatoes,Can i use meat soup to mash with the yams and give the baby?
Nutrition_Baby_Cow_Milk,Can I give cow milk to my baby who is not 6 months yet?
Nutrition_Baby_Cow_Milk,At what age should a baby be given cow milk?
Nutrition_Baby_Cow_Milk,Does cow milk has any effect to the baby?
Nutrition_Baby_Cow_Milk,Can i give my 1 month old goat milk?
Nutrition_Baby_Cow_Milk,Can i add water to the cow milk before giving the baby at 8 months?
Nutrition_Baby_Soil_Stones,My baby like putting soil in his mouth what could be the problem?
Nutrition_Baby_Soil_Stones,When my baby takes soil what effect does it has on the baby?
Nutrition_Baby_Soil_Stones,Should i allow my baby to eat soil because he likes putting soil in his mouth?
Nutrition_Baby_Soil_Stones,When my baby puts soil in his moth what do i do?
Nutrition_Baby_Soil_Stones,I want to know why my baby has the habbit of utting soil in his mouth?
Nutrition_Baby_Salt,Does salt has any effect if put in the baby's food?
Nutrition_Baby_Salt,Should I put salt in the baby;s food or not?
Nutrition_Baby_Salt,Is baby;s food supposed to be cooked with salt?
Nutrition_Baby_Salt,What amount of salt should i add to my baby's food?
Nutrition_Baby_Salt,If i do not add salt to my baby's food is there a problem
Nutrition_Baby_Weetabix_Cornflakes,At what age should I give my baby weetabix
Nutrition_Baby_Weetabix_Cornflakes,Can I give my baby conflakes?
Nutrition_Baby_Weetabix_Cornflakes,What about cerelac is it okay for the baby?
Nutrition_Baby_Weetabix_Cornflakes,Which nutrients will the baby get from Weetabix?
Nutrition_Baby_Weetabix_Cornflakes,Which cerials can i give my baby at 7 months?
Nutrition_Baby_Honey,"Habari daktari,naweza mpea mtoto wangu asali?"
Nutrition_Baby_Honey,Asali ni salama kwa mtoto mdogo au la?
Nutrition_Baby_Honey,Kama mtoto wangu anataka asali naweza mpatia?
Nutrition_Baby_Honey,i normally use honey to add flavour to my babys foos since she turned 6 months is that okay?
Nutrition_Baby_Honey,When will start giving my baby honey?
Nutrition_Baby_Spices,Can i put spices in my babies food?
Nutrition_Baby_Spices,Can spices affect my baby when i put spices in my baby's food?
Nutrition_Baby_Spices,Which Spices can i use in my baby's food?
Nutrition_Baby_Spices,At what age should i start adding spices to my baby's food?
Nutrition_Baby_Spices,Kwanini nisiongeza spices kwa vyakula vya mtoto kabla mwaka moja?
Nutrition_Baby_Sugar,Can i add sugar to my baby's porridge?
Nutrition_Baby_Sugar,Is it wrong to add sugar to the baby's porridge?
Nutrition_Baby_Sugar,At what age should i start adding sugar to my baby's food?
Nutrition_Baby_Sugar,What amount of sugar will i add to the babys porridge?
Nutrition_Baby_Sugar,If i do not want to add sugar to my abys food what else can i use insteade of sugar?
